Type,Package,Description
,base,
,base-devel,
,linux,The Linux kernel and modules
,linux-firmware,Firmware files for Linux
,grub,
,networkmanager,

,libxft,FreeType-based font drawing library for X
,sxhkd,Simple X hotkey daemon
,xcape,Configure modifier keys to act as other keys when pressed and released on their own
,xclip,Command line interface to the X11 clipboard
,xdotool,xdotool type for wayland
,xorg-server,
,xorg-setxkbmap,Set the keyboard using the X Keyboard Extension
,xorg-xinit,
,xorg-xset,User preference utility for X
,xwallpaper,Wallpaper setting utility for X

,alacritty,"A cross-platform, GPU-accelerated terminal emulator"
,bat,Cat clone with syntax highlighting and git integration
,bc,An arbitrary precision calculator language
,calcurse,A text-based personal organizer
,dash,POSIX compliant shell that aims to be as small as possible
,exa,ls replacement
,fd,"Simple, fast and user-friendly alternative to find"
,ffmpeg,Complete solution to record, convert and stream audio and video
,fzf,Command-line fuzzy finder
,gimp,GNU Image Manipulation Program
,git,the fast distributed version control system
,github-cli,The GitHub CLi
,htop,Interactive process viewer
,imagemagick,An image viewing/manipulation program
,jq,Command-line JSON processor
,krita,Edit and paint images
,man-db,A utility for reading man pages
,man-pages,Linux man pages
,mpc,Minimalist command line interface to MPD
,mpd,"Flexible, powerful, server-side application for playing music"
,mpv,"a free, open source, and cross-platform media player"
,ncmpcpp,Almost exact clone of ncmpc with some new features (MPD client)
,neovim,"Fork of Vim aiming to improve user experience, plugins, and GUIs"
,newsboat,An RSS/Atom feed reader for text terminals
,pamixer,Pulseaudio command-line mixer like amixer
,pass,"Stores, retrieves, generates, and synchronizes passwords securely"
,pass-otp,A pass extension for managing one-time-password (OTP) tokens.
,pipewire,Low-latency audio/video router and processor
,pipewire-alsa,Low-latency audio/video router and processor - ALSA configuration
,pipewire-pulse,Low-latency audio/video router and processor - PulseAudio replacement
,pulseaudio-alsa,ALSA configuration for PulseAudio
,pulsemixer,CLI and curses mixer for pulseaudio
,rsync,A fast and versatile file copying tool for remote and local files
,screenkey,A screencast tool to display your keys inspired by Screenflick
,shellcheck,Shell script analysis tool
,sxiv,Simple X Image Viewer
,tree,A directory listing program displaying a depth indented list of files
,unclutter,A small program for hiding the mouse cursor
,youtube-dl,A command-line program to download videos from YouTube.com and a few more sites
,zathura,Minimalistic document viewer
,zathura-pdf-poppler,Adds pdf support to zathura by using the poppler engine

,ttf-inconsolata,
,ttf-liberation,
,ttf-linux-libertine,
,adobe-source-han-sans-jp-fonts,Adobe Source Han Sans Subset OTF - Japanese OpenType/CFF fonts
,adobe-source-han-serif-jp-fonts,Adobe Source Han Serif Subset OTF - Japanese OpenType/CFF fonts
,fcitx,Flexible Context-aware Input Tool with eXtension
,fcitx-configtool,GTK based config tool for Fcitx
,fcitx-mozc,Fcitx Module of A Japanese Input Method (the Open Source Edition of Google Japanese Input)
,fcitx-ui-light,Light weight xlib and xft based ui for fcitx.

aur,brave-bin,Brave Browser
aur,vieb,Vim Inspired Electron Browser - Vim bindings for the web by design

git,https://github.com/yunemk/dmenu.git,
git,https://github.com/yunemk/dwm.git,
git,https://github.com/yunemk/st.git,
